Search_method Problem Max_evals Run Score
uniform_crossover knapPI_11_20_1000_4 10000 0 1400N
uniform_crossover knapPI_11_20_1000_4 10000 1 1360N
uniform_crossover knapPI_11_20_1000_4 10000 2 1400N
uniform_crossover knapPI_11_20_1000_4 10000 3 1400N
uniform_crossover knapPI_11_20_1000_4 10000 4 1300N
uniform_crossover knapPI_11_20_1000_4 10000 5 1400N
uniform_crossover knapPI_11_20_1000_4 10000 6 1360N
uniform_crossover knapPI_11_20_1000_4 10000 7 1400N
uniform_crossover knapPI_11_20_1000_4 10000 8 1320N
uniform_crossover knapPI_11_20_1000_4 10000 9 1400N
uniform_crossover knapPI_11_20_1000_4 10000 10 1400N
uniform_crossover knapPI_11_20_1000_4 10000 11 1400N
uniform_crossover knapPI_11_20_1000_4 10000 12 1400N
uniform_crossover knapPI_11_20_1000_4 10000 13 1400N
uniform_crossover knapPI_11_20_1000_4 10000 14 1440N
uniform_crossover knapPI_11_20_1000_4 10000 15 1360N
uniform_crossover knapPI_11_20_1000_4 10000 16 1400N
uniform_crossover knapPI_11_20_1000_4 10000 17 1360N
uniform_crossover knapPI_11_20_1000_4 10000 18 1400N
uniform_crossover knapPI_11_20_1000_4 10000 19 1440N
uniform_crossover knapPI_11_20_1000_4 10000 20 1400N
uniform_crossover knapPI_11_20_1000_4 10000 21 1400N
uniform_crossover knapPI_11_20_1000_4 10000 22 1320N
uniform_crossover knapPI_11_20_1000_4 10000 23 1400N
uniform_crossover knapPI_11_20_1000_4 10000 24 1400N
uniform_crossover knapPI_13_20_1000_4 10000 0 854N
uniform_crossover knapPI_13_20_1000_4 10000 1 907N
uniform_crossover knapPI_13_20_1000_4 10000 2 907N
uniform_crossover knapPI_13_20_1000_4 10000 3 907N
uniform_crossover knapPI_13_20_1000_4 10000 4 880N
uniform_crossover knapPI_13_20_1000_4 10000 5 845N
uniform_crossover knapPI_13_20_1000_4 10000 6 890N
uniform_crossover knapPI_13_20_1000_4 10000 7 907N
uniform_crossover knapPI_13_20_1000_4 10000 8 890N
uniform_crossover knapPI_13_20_1000_4 10000 9 880N
uniform_crossover knapPI_13_20_1000_4 10000 10 907N
uniform_crossover knapPI_13_20_1000_4 10000 11 907N
uniform_crossover knapPI_13_20_1000_4 10000 12 854N
uniform_crossover knapPI_13_20_1000_4 10000 13 889N
uniform_crossover knapPI_13_20_1000_4 10000 14 889N
uniform_crossover knapPI_13_20_1000_4 10000 15 889N
uniform_crossover knapPI_13_20_1000_4 10000 16 845N
uniform_crossover knapPI_13_20_1000_4 10000 17 800N
uniform_crossover knapPI_13_20_1000_4 10000 18 889N
uniform_crossover knapPI_13_20_1000_4 10000 19 907N
uniform_crossover knapPI_13_20_1000_4 10000 20 836N
uniform_crossover knapPI_13_20_1000_4 10000 21 889N
uniform_crossover knapPI_13_20_1000_4 10000 22 880N
uniform_crossover knapPI_13_20_1000_4 10000 23 907N
uniform_crossover knapPI_13_20_1000_4 10000 24 890N
uniform_crossover knapPI_16_20_1000_4 10000 0 2886N
uniform_crossover knapPI_16_20_1000_4 10000 1 2864N
uniform_crossover knapPI_16_20_1000_4 10000 2 2864N
uniform_crossover knapPI_16_20_1000_4 10000 3 2272N
uniform_crossover knapPI_16_20_1000_4 10000 4 2528N
uniform_crossover knapPI_16_20_1000_4 10000 5 2366N
uniform_crossover knapPI_16_20_1000_4 10000 6 2318N
uniform_crossover knapPI_16_20_1000_4 10000 7 2510N
uniform_crossover knapPI_16_20_1000_4 10000 8 2575N
uniform_crossover knapPI_16_20_1000_4 10000 9 2633N
uniform_crossover knapPI_16_20_1000_4 10000 10 2455N
uniform_crossover knapPI_16_20_1000_4 10000 11 2366N
uniform_crossover knapPI_16_20_1000_4 10000 12 2221N
uniform_crossover knapPI_16_20_1000_4 10000 13 2503N
uniform_crossover knapPI_16_20_1000_4 10000 14 2453N
uniform_crossover knapPI_16_20_1000_4 10000 15 2538N
