Search_method Problem Max_evals Run Score
uniform_crossover knapPI_13_200_1000_4 10000 5 -23760N
uniform_crossover knapPI_13_200_1000_4 10000 6 -23253N
uniform_crossover knapPI_13_200_1000_4 10000 7 -21720N
uniform_crossover knapPI_13_200_1000_4 10000 8 -22479N
uniform_crossover knapPI_13_200_1000_4 10000 9 -24132N
uniform_crossover knapPI_13_200_1000_4 10000 10 -23622N
uniform_crossover knapPI_13_200_1000_4 10000 11 -22890N
uniform_crossover knapPI_13_200_1000_4 10000 12 -23841N
uniform_crossover knapPI_13_200_1000_4 10000 13 -23880N
uniform_crossover knapPI_13_200_1000_4 10000 14 -23349N
uniform_crossover knapPI_13_200_1000_4 10000 15 -23571N
uniform_crossover knapPI_13_200_1000_4 10000 16 -23907N
uniform_crossover knapPI_13_200_1000_4 10000 17 -24063N
uniform_crossover knapPI_13_200_1000_4 10000 18 -23055N
uniform_crossover knapPI_13_200_1000_4 10000 19 -23475N
uniform_crossover knapPI_13_200_1000_4 10000 20 -23697N
uniform_crossover knapPI_13_200_1000_4 10000 21 -22947N
uniform_crossover knapPI_13_200_1000_4 10000 22 -23808N
uniform_crossover knapPI_13_200_1000_4 10000 23 -22620N
uniform_crossover knapPI_13_200_1000_4 10000 24 -23283N
uniform_crossover knapPI_16_200_1000_4 10000 0 -37501N
uniform_crossover knapPI_16_200_1000_4 10000 1 -36814N
uniform_crossover knapPI_16_200_1000_4 10000 2 -35619N
uniform_crossover knapPI_16_200_1000_4 10000 3 -34380N
uniform_crossover knapPI_16_200_1000_4 10000 4 -35743N
uniform_crossover knapPI_16_200_1000_4 10000 5 -35827N
uniform_crossover knapPI_16_200_1000_4 10000 6 -34652N
uniform_crossover knapPI_16_200_1000_4 10000 7 -33346N
uniform_crossover knapPI_16_200_1000_4 10000 8 -35260N
uniform_crossover knapPI_16_200_1000_4 10000 9 -35907N
uniform_crossover knapPI_16_200_1000_4 10000 10 -35955N
uniform_crossover knapPI_16_200_1000_4 10000 11 -37523N
uniform_crossover knapPI_16_200_1000_4 10000 12 -35606N
uniform_crossover knapPI_16_200_1000_4 10000 13 -34113N
uniform_crossover knapPI_16_200_1000_4 10000 14 -33268N
uniform_crossover knapPI_16_200_1000_4 10000 15 -33946N
uniform_crossover knapPI_16_200_1000_4 10000 16 -32184N
uniform_crossover knapPI_16_200_1000_4 10000 17 -34932N
uniform_crossover knapPI_16_200_1000_4 10000 18 -36713N
uniform_crossover knapPI_16_200_1000_4 10000 19 -34938N
uniform_crossover knapPI_16_200_1000_4 10000 20 -36598N
uniform_crossover knapPI_16_200_1000_4 10000 21 -33982N
uniform_crossover knapPI_16_200_1000_4 10000 22 -35722N
uniform_crossover knapPI_16_200_1000_4 10000 23 -34092N
uniform_crossover knapPI_16_200_1000_4 10000 24 -36779N
uniform_crossover knapPI_16_1000_1000_4 10000 0 -214760N
uniform_crossover knapPI_16_1000_1000_4 10000 1 -213742N
uniform_crossover knapPI_16_1000_1000_4 10000 2 -216753N
uniform_crossover knapPI_16_1000_1000_4 10000 3 -216873N
uniform_crossover knapPI_16_1000_1000_4 10000 4 -216183N
uniform_crossover knapPI_16_1000_1000_4 10000 5 -216032N
uniform_crossover knapPI_16_1000_1000_4 10000 6 -211511N
uniform_crossover knapPI_16_1000_1000_4 10000 7 -215908N
uniform_crossover knapPI_16_1000_1000_4 10000 8 -210728N
uniform_crossover knapPI_16_1000_1000_4 10000 9 -215477N
uniform_crossover knapPI_16_1000_1000_4 10000 10 -209308N
uniform_crossover knapPI_16_1000_1000_4 10000 11 -213274N
uniform_crossover knapPI_16_1000_1000_4 10000 12 -212408N
uniform_crossover knapPI_16_1000_1000_4 10000 13 -214179N
uniform_crossover knapPI_16_1000_1000_4 10000 14 -207683N
uniform_crossover knapPI_16_1000_1000_4 10000 15 -214264N
uniform_crossover knapPI_16_1000_1000_4 10000 16 -210301N
uniform_crossover knapPI_16_1000_1000_4 10000 17 -212781N
uniform_crossover knapPI_16_1000_1000_4 10000 18 -211309N
uniform_crossover knapPI_16_1000_1000_4 10000 19 -206998N
uniform_crossover knapPI_16_1000_1000_4 10000 20 -215079N
uniform_crossover knapPI_16_1000_1000_4 10000 21 -210318N
uniform_crossover knapPI_16_1000_1000_4 10000 22 -209766N
uniform_crossover knapPI_16_1000_1000_4 10000 23 -216860N
uniform_crossover knapPI_16_1000_1000_4 10000 24 -208664N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 0 1440N
